file,category,brightness,saturation,hero_pct,score,status
traits/background/Soft_Serve.png,background,53.16,24.95,3.53,87.76,PASS
traits/armz/layer-layer-layer-Nerf_Blaster.png,armz,66.82,61.15,1.52,88.18,PASS
traits/background/Frosting_Forest.png,background,52.84,28.62,0.19,88.24,PASS
traits/skinz/Skin_Alien.png,skinz,66.62,7.3,0.0,88.38,PASS
traits/background/Swamp_Drained.png,background,52.74,8.59,0.0,88.39,PASS
traits/background/Sweetardio.png,background,52.73,32.81,0.0,88.41,PASS
traits/background/Cereal_Killer.png,background,52.24,28.44,1.59,89.14,PASS
traits/armz/layer-layer-layer-Military_Brat.png,armz,65.84,5.25,0.46,89.16,PASS
traits/background/art_mattrick_001-15-2.png,background,52.04,0.0,0.0,89.44,PASS
traits/mouthz/layer-file_00000000f0047230b5dc6a50a68c6839.png,mouthz,44.77,27.2,0.24,89.77,PASS
traits/skinz/Skin_Gold_Foil.png,skinz,64.97,86.37,0.0,90.03,PASS
traits/backgrounds_pop/Legendary_Short_the_Banks.png,backgrounds_pop,14.57,49.84,0.08,90.16,PASS
traits/background/Pink_Abyss.png,background,45.93,48.35,0.88,90.26,PASS
traits/backgrounds_pop/Legendary_Emyr.png,backgrounds_pop,17.52,49.69,2.75,90.31,PASS
traits/eyez/Carly-Background-love-Matt (31).png,eyez,23.64,39.01,30.47,90.47,PASS
traits/background/UAP_Taskforce.png,background,50.53,10.29,0.02,91.7,PASS
traits/eyez/layer-layer-layer-Eyes_Cyan (1).png,eyez,25.83,42.38,32.46,92.46,PASS
traits/skinz/Rename_to_color3.png,skinz,62.11,90.86,0.0,92.89,PASS
traits/armz/light_saber_cyan.png,armz,62.11,48.68,46.88,92.89,PASS
traits/background/Candy_Land.png,background,49.62,31.48,0.07,93.07,PASS
traits/backgrounds_pop/Legendary_Shubbi.png,backgrounds_pop,18.68,46.6,3.6,93.4,PASS
traits/backgroundz/ufc_octagon_white_house.png,backgroundz,49.37,18.92,0.02,93.45,PASS
traits/background/Druski.png,background,49.18,9.49,0.0,93.73,PASS
traits/background/Wheres_My_$_B1tch.png,background,48.68,9.57,0.02,94.48,PASS
traits/armz/Lightsaber_1.png,armz,60.25,42.32,43.33,94.75,PASS
traits/backgrounds_pop/Legendary_Tenders.png,backgrounds_pop,13.7,44.37,0.0,95.63,PASS
traits/armz/Sweetardio_112 (16).png,armz,50.67,5.93,0.08,95.67,PASS
traits/backgroundz/bubble_trouble_alley.png,backgroundz,34.38,44.26,13.91,95.74,PASS
traits/background/Flavor_Explosion.png,background,47.83,33.66,0.15,95.75,PASS
traits/armz/lightsaber_violet.png,armz,59.02,43.52,23.66,95.98,PASS
traits/armz/stick_up.png,armz,58.89,2.9,0.11,96.11,PASS
traits/armz/composite-export (36).png,armz,51.13,5.95,0.08,96.13,PASS
traits/background/Snack_Pack.png,background,44.69,43.66,0.02,96.34,PASS
traits/characterz/after_skinz_gummy_worm.png,characterz,56.95,84.03,46.59,96.59,PASS
traits/armz/layer-layer-layer-AK15.png,armz,51.69,57.64,0.0,96.69,PASS
traits/armz/layer-layer-layer-Shy-1.png,armz,58.29,5.55,0.27,96.71,PASS
traits/background/Ayotollah.png,background,47.19,22.37,0.14,96.72,PASS
traits/background/Ben_dot_Eth.png,background,47.09,30.78,0.04,96.87,PASS
traits/characterz/layer-Sweetardio_112 (19).png,characterz,66.12,62.95,47.19,97.19,PASS
traits/background/Whitehouse_Lawn.png,background,46.87,10.6,0.03,97.2,PASS
traits/backgrounds_pop/Legendary_Welder.png,backgrounds_pop,17.71,42.77,0.94,97.23,PASS
traits/background/Bubble_Trouble.png,background,46.79,39.22,0.67,97.32,PASS
traits/mouthz/layer-layer-layer-Mouth_Tasty-1.png,mouthz,57.63,65.57,69.34,97.37,PASS
traits/background/The_Set.png,background,46.76,20.9,0.0,97.37,PASS
traits/characterz/layer-Sweetardio_112 (18) (1).png,characterz,53.78,82.04,47.44,97.44,PASS
traits/background/RIP_Gorbagana.png,background,46.7,31.09,0.08,97.45,PASS
traits/background/He_Needs_Some_Milk.png,background,46.3,13.1,0.2,98.05,PASS
traits/background/Im_Not_Sorry.png,background,46.21,29.09,0.21,98.18,PASS
traits/background/This_Kitchen_Is_Bitchin.png,background,45.86,34.96,0.0,98.72,PASS
traits/background/Psychedelics.png,background,45.08,17.25,0.09,99.88,PASS
traits/background/Crumb_Country.png,background,40.0,40.08,0.0,99.92,PASS
traits/backgrounds/Legendary_Simplex.png,backgrounds,27.63,40.02,7.54,99.98,PASS
traits/backgroundz/podium_speech_press.png,backgroundz,22.66,35.09,0.35,100.0,PASS
traits/background/Game_On.png,background,35.13,32.21,10.55,100.0,PASS
traits/background/Nabisco.png,background,42.8,10.44,0.01,100.0,PASS
traits/background/Fafo.png,background,25.51,22.36,0.0,100.0,PASS
traits/background/Artemis.png,background,29.35,6.89,0.04,100.0,PASS
traits/background/Sweet_Dreams.png,background,33.65,32.94,1.32,100.0,PASS
traits/background/Dispensary.png,background,36.22,39.07,0.01,100.0,PASS
traits/background/Toasted.png,background,43.71,37.71,0.04,100.0,PASS
traits/backgroundz/political_event_speaker.png,backgroundz,19.84,38.7,2.0,100.0,PASS
traits/backgroundz/blonde_woman_sparkles.png,backgroundz,42.96,18.73,0.17,100.0,PASS
traits/background/art_mattrick_011-4.png,background,34.49,19.85,0.0,100.0,PASS
traits/background/Sugar_Skulls.png,background,35.24,33.04,0.02,100.0,PASS
traits/background/Midnight_Snack.png,background,34.72,33.12,2.11,100.0,PASS
traits/background/Baked.png,background,44.77,38.6,0.0,100.0,PASS
traits/background/Gorlock.png,background,36.08,11.17,0.01,100.0,PASS
traits/background/Doughnut_Wasteland.png,background,34.86,30.75,0.04,100.0,PASS
traits/background/Rick_the_D1ck.png,background,38.38,2.29,0.18,100.0,PASS
traits/eyez/layer-layer-file_000000001e1c71fd9d410745ea63114e.png,eyez,43.34,53.75,49.55,100.0,PASS
traits/eyez/layer-file_00000000d08871fdb247f3ed2a0a8cf5.png,eyez,87.09,74.89,76.19,100.0,PASS
traits/background/Palm_Beach_Pete.png,background,39.76,2.97,0.12,100.0,PASS
traits/background/Winning.png,background,38.61,21.56,0.38,100.0,PASS
traits/background/Choco_Falls.png,background,38.93,35.88,0.03,100.0,PASS
traits/backgroundz/presidential_office_meeting.png,backgroundz,28.43,31.71,0.67,100.0,PASS
traits/backgroundz/gorlock_the_destroyer_bundle.png,backgroundz,17.76,26.37,2.22,100.0,PASS
